1615295744739|90|statement|connection 0|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT  USER_ID,gender,mail,real_name,password,tel,username  FROM user|SELECT  USER_ID,gender,mail,real_name,password,tel,username  FROM user
1615295744871|78|statement|connection 1|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = ?|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = 'mrbird'
1615295744985|82|statement|connection 2|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME=?|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME='mrbird'
1615295745082|83|statement|connection 3|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = ?|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = 'scott'
1615295745168|83|statement|connection 4|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME=?|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME='scott'
1615295745260|88|statement|connection 5|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = ?|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = 'jack'
1615295745349|84|statement|connection 6|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME=?|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME='jack'
1615295745433|81|statement|connection 7|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = ?|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = 'xiaoduan'
1615295745520|84|statement|connection 8|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME=?|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME='xiaoduan'
1615295745608|82|statement|connection 9|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = ?|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = 'test'
1615295745694|82|statement|connection 10|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME=?|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME='test'
1615295745778|79|statement|connection 11|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = ?|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = 'ddmtest14'
1615295745861|80|statement|connection 12|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME=?|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME='ddmtest14'
1615295745942|78|statement|connection 13|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = ?|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = 'test1'
1615295746026|83|statement|connection 14|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME=?|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME='test1'
1615295746120|91|statement|connection 15|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = ?|SELECT role.*         FROM role JOIN user_role on (role.ROLE_ID = user_role.ROLE_ID)                   LEFT JOIN user on (user.USER_ID = user_role.USER_ID)         where user.USERNAME = 'admin'
1615295746218|93|statement|connection 16|url jdbc:mysql://ij36895496.wicp.vip:28695/gms?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME=?|SELECT DISTINCT PERMS FROM role_stage_perms                 JOIN user_role ON(role_stage_perms.ROLE_ID=user_role.ROLE_ID)                 JOIN user_stage ON(role_stage_perms.STAGE= user_stage.STAGE                                        OR role_stage_perms.STAGE=(SELECT STAGE_ID FROM system_stage))                 JOIN user ON(user.USER_ID=user_stage.USER_ID)         WHERE USERNAME='admin'
